Roll No,Name
MBBS24001,Student 1
MBBS24002,Student 2
MBBS24003,Student 3
MBBS24004,Student 4
MBBS24005,Student 5
MBBS24006,Student 6
MBBS24007,Student 7
MBBS24008,Student 8
MBBS24009,Student 9
MBBS24010,Student 10
MBBS24011,Student 11
MBBS24012,Student 12
MBBS24013,Student 13
MBBS24014,Student 14
MBBS24015,Student 15
MBBS24016,Student 16
MBBS24017,Student 17
MBBS24018,Student 18
MBBS24019,Student 19
MBBS24020,Student 20
MBBS24021,Student 21
MBBS24022,Student 22
MBBS24023,Student 23
MBBS24024,Student 24
MBBS24025,Student 25
MBBS24026,Student 26
MBBS24027,Student 27
MBBS24028,Student 28
MBBS24029,Student 29
MBBS24030,Student 30
MBBS24031,Student 31
MBBS24032,Student 32
MBBS24033,Student 33
MBBS24034,Student 34
MBBS24035,Student 35
MBBS24036,Student 36
MBBS24037,Student 37
MBBS24038,Student 38
MBBS24039,Student 39
MBBS24040,Student 40
MBBS24041,Student 41
MBBS24042,Student 42
MBBS24043,Student 43
MBBS24044,Student 44
MBBS24045,Student 45
MBBS24046,Student 46
MBBS24047,Student 47
MBBS24048,Student 48
MBBS24049,Student 49
MBBS24050,Student 50
MBBS24051,Student 51
MBBS24052,Student 52
MBBS24053,Student 53
MBBS24054,Student 54
MBBS24055,Student 55
MBBS24056,Student 56
MBBS24057,Student 57
MBBS24058,Student 58
MBBS24059,Student 59
MBBS24060,Student 60
MBBS24061,Student 61
MBBS24062,Student 62
MBBS24063,Student 63
MBBS24064,Student 64
MBBS24065,Student 65
MBBS24066,Student 66
MBBS24067,Student 67
MBBS24068,Student 68
MBBS24069,Student 69
MBBS24070,Student 70
MBBS24071,Student 71
MBBS24072,Student 72
MBBS24073,Student 73
MBBS24074,Student 74
MBBS24075,Student 75
MBBS24076,Student 76
MBBS24077,Student 77
MBBS24078,Student 78
MBBS24079,Student 79
MBBS24080,Student 80
MBBS24081,Student 81
MBBS24082,Student 82
MBBS24083,Student 83
MBBS24084,Student 84
MBBS24085,Student 85
MBBS24086,Student 86
MBBS24087,Student 87
MBBS24088,Student 88
MBBS24089,Student 89
MBBS24090,Student 90
MBBS24091,Student 91
MBBS24092,Student 92
MBBS24093,Student 93
MBBS24094,Student 94
MBBS24095,Student 95
MBBS24096,Student 96
MBBS24097,Student 97
MBBS24098,Student 98
MBBS24099,Student 99
MBBS24100,Student 100
MBBS24101,Student 101
MBBS24102,Student 102
MBBS24103,Student 103
MBBS24104,Student 104
MBBS24105,Student 105
MBBS24106,Student 106
MBBS24107,Student 107
MBBS24108,Student 108
MBBS24109,Student 109
MBBS24110,Student 110
MBBS24111,Student 111
MBBS24112,Student 112
MBBS24113,Student 113
MBBS24114,Student 114
MBBS24115,Student 115
MBBS24116,Student 116
MBBS24117,Student 117
MBBS24118,Student 118
MBBS24119,Student 119
MBBS24120,Student 120
