Roll No,Name,Anatomy Score
MBBS24001,Student 1,54
MBBS24002,Student 2,79
MBBS24003,Student 3,52
MBBS24004,Student 4,45
MBBS24005,Student 5,75
MBBS24006,Student 6,71
MBBS24007,Student 7,76
MBBS24008,Student 8,85
MBBS24009,Student 9,82
MBBS24010,Student 10,85
MBBS24011,Student 11,57
MBBS24012,Student 12,41
MBBS24013,Student 13,53
MBBS24014,Student 14,67
MBBS24015,Student 15,58
MBBS24016,Student 16,83
MBBS24017,Student 17,71
MBBS24018,Student 18,41
MBBS24019,Student 19,73
MBBS24020,Student 20,48
MBBS24021,Student 21,49
MBBS24022,Student 22,40
MBBS24023,Student 23,51
MBBS24024,Student 24,46
MBBS24025,Student 25,79
MBBS24026,Student 26,74
MBBS24027,Student 27,45
MBBS24028,Student 28,88
MBBS24029,Student 29,74
MBBS24030,Student 30,52
