Roll No,Name,Biochemistry Score
MBBS24001,Student 1,69
MBBS24002,Student 2,55
MBBS24003,Student 3,83
MBBS24004,Student 4,85
MBBS24005,Student 5,60
MBBS24006,Student 6,89
MBBS24007,Student 7,57
MBBS24008,Student 8,62
MBBS24009,Student 9,75
MBBS24010,Student 10,72
MBBS24011,Student 11,48
MBBS24012,Student 12,60
MBBS24013,Student 13,70
MBBS24014,Student 14,85
MBBS24015,Student 15,52
MBBS24016,Student 16,63
MBBS24017,Student 17,60
MBBS24018,Student 18,69
MBBS24019,Student 19,53
MBBS24020,Student 20,65
MBBS24021,Student 21,50
MBBS24022,Student 22,50
MBBS24023,Student 23,82
MBBS24024,Student 24,71
MBBS24025,Student 25,60
MBBS24026,Student 26,59
MBBS24027,Student 27,71
MBBS24028,Student 28,67
MBBS24029,Student 29,48
MBBS24030,Student 30,63
