Roll No,Name,Physiology Score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
MBBS24001,Student 1,89,1,1,1,1,1,1,0,1,1,1
MBBS24002,Student 2,53,1,0,1,0,0,1,1,1,0,0
MBBS24003,Student 3,51,0,1,1,0,0,1,1,1,0,0
MBBS24004,Student 4,56,1,0,1,0,1,1,1,0,0,0
MBBS24005,Student 5,65,1,1,1,0,1,1,1,0,0,1
MBBS24006,Student 6,88,1,1,1,1,1,1,0,1,1,1
MBBS24007,Student 7,58,1,0,1,0,1,1,1,0,1,0
MBBS24008,Student 8,47,0,0,1,0,0,1,1,1,0,0
MBBS24009,Student 9,61,1,1,1,0,1,0,1,0,0,1
MBBS24010,Student 10,63,1,1,1,0,1,1,1,0,0,0
MBBS24011,Student 11,82,1,1,1,1,1,1,0,1,1,0
MBBS24012,Student 12,53,1,0,1,0,0,1,1,1,0,0
MBBS24013,Student 13,75,1,1,1,1,1,1,0,0,1,0
MBBS24014,Student 14,79,1,1,1,1,1,1,0,1,0,1
MBBS24015,Student 15,63,1,1,1,0,1,1,1,0,0,0
MBBS24016,Student 16,78,1,1,1,1,1,1,0,0,1,1
MBBS24017,Student 17,77,1,1,1,1,1,1,0,0,1,1
MBBS24018,Student 18,48,0,0,1,0,0,1,1,0,0,0
MBBS24019,Student 19,49,0,0,1,0,0,1,1,1,0,0
MBBS24020,Student 20,80,1,1,1,1,1,1,0,1,1,0
MBBS24021,Student 21,79,1,1,1,1,1,1,0,1,1,0
MBBS24022,Student 22,56,1,0,1,0,1,1,1,0,0,0
MBBS24023,Student 23,66,1,1,1,0,1,1,1,0,0,0
MBBS24024,Student 24,63,1,1,1,0,1,1,1,0,0,0
MBBS24025,Student 25,61,1,1,1,0,1,1,1,0,0,0
MBBS24026,Student 26,82,1,1,1,1,1,1,0,1,1,0
MBBS24027,Student 27,50,0,0,1,0,0,1,1,1,0,0
MBBS24028,Student 28,44,0,0,1,0,0,1,1,0,0,0
MBBS24029,Student 29,79,1,1,1,1,1,1,0,1,1,0
MBBS24030,Student 30,47,0,0,1,0,0,1,1,0,0,0
