Roll No,Name,Physiology Score
MBBS24001,Student 1,44
MBBS24002,Student 2,43
MBBS24003,Student 3,74
MBBS24004,Student 4,43
MBBS24005,Student 5,76
MBBS24006,Student 6,59
MBBS24007,Student 7,89
MBBS24008,Student 8,52
MBBS24009,Student 9,53
MBBS24010,Student 10,82
MBBS24011,Student 11,77
MBBS24012,Student 12,78
MBBS24013,Student 13,78
MBBS24014,Student 14,50
MBBS24015,Student 15,66
MBBS24016,Student 16,58
MBBS24017,Student 17,89
MBBS24018,Student 18,51
MBBS24019,Student 19,63
MBBS24020,Student 20,46
