Roll No,Name,Course,Year
MBBS24001,Student 1,MBBS,First Year
MBBS24002,Student 2,MBBS,First Year
MBBS24003,Student 3,MBBS,First Year
MBBS24004,Student 4,MBBS,First Year
MBBS24005,Student 5,MBBS,First Year
MBBS24006,Student 6,MBBS,First Year
MBBS24007,Student 7,MBBS,First Year
MBBS24008,Student 8,MBBS,First Year
MBBS24009,Student 9,MBBS,First Year
MBBS24010,Student 10,MBBS,First Year
MBBS24011,Student 11,MBBS,First Year
MBBS24012,Student 12,MBBS,First Year
MBBS24013,Student 13,MBBS,First Year
MBBS24014,Student 14,MBBS,First Year
MBBS24015,Student 15,MBBS,First Year
MBBS24016,Student 16,MBBS,First Year
MBBS24017,Student 17,MBBS,First Year
MBBS24018,Student 18,MBBS,First Year
MBBS24019,Student 19,MBBS,First Year
MBBS24020,Student 20,MBBS,First Year
MBBS24021,Student 21,MBBS,First Year
MBBS24022,Student 22,MBBS,First Year
MBBS24023,Student 23,MBBS,First Year
MBBS24024,Student 24,MBBS,First Year
MBBS24025,Student 25,MBBS,First Year
MBBS24026,Student 26,MBBS,First Year
MBBS24027,Student 27,MBBS,First Year
MBBS24028,Student 28,MBBS,First Year
MBBS24029,Student 29,MBBS,First Year
MBBS24030,Student 30,MBBS,First Year
MBBS24031,Student 31,MBBS,First Year
MBBS24032,Student 32,MBBS,First Year
MBBS24033,Student 33,MBBS,First Year
MBBS24034,Student 34,MBBS,First Year
MBBS24035,Student 35,MBBS,First Year
MBBS24036,Student 36,MBBS,First Year
MBBS24037,Student 37,MBBS,First Year
MBBS24038,Student 38,MBBS,First Year
MBBS24039,Student 39,MBBS,First Year
MBBS24040,Student 40,MBBS,First Year
MBBS24041,Student 41,MBBS,First Year
MBBS24042,Student 42,MBBS,First Year
MBBS24043,Student 43,MBBS,First Year
MBBS24044,Student 44,MBBS,First Year
MBBS24045,Student 45,MBBS,First Year
MBBS24046,Student 46,MBBS,First Year
MBBS24047,Student 47,MBBS,First Year
MBBS24048,Student 48,MBBS,First Year
MBBS24049,Student 49,MBBS,First Year
MBBS24050,Student 50,MBBS,First Year
