Roll No,Fictitious Code,Name
MBBS24001,AK-4CD-194,Student 1
MBBS24002,AK-FDT-714,Student 2
MBBS24003,AK-34F-401,Student 3
MBBS24004,AK-Y5S-409,Student 4
MBBS24005,AK-N80-345,Student 5
MBBS24006,AK-2RR-969,Student 6
MBBS24007,AK-GYE-502,Student 7
MBBS24008,AK-CG0-882,Student 8
MBBS24009,AK-46G-978,Student 9
MBBS24010,AK-WLK-902,Student 10
MBBS24011,AK-TKH-108,Student 11
MBBS24012,AK-FBA-953,Student 12
MBBS24013,AK-EX6-394,Student 13
MBBS24014,AK-163-126,Student 14
MBBS24015,AK-A0L-167,Student 15
MBBS24016,AK-B9E-751,Student 16
MBBS24017,AK-3M9-324,Student 17
MBBS24018,AK-FMG-921,Student 18
MBBS24019,AK-BQ5-290,Student 19
MBBS24020,AK-M68-833,Student 20
MBBS24021,AK-IZL-780,Student 21
MBBS24022,AK-02K-681,Student 22
MBBS24023,AK-PE3-806,Student 23
MBBS24024,AK-BRK-542,Student 24
MBBS24025,AK-EO6-844,Student 25
MBBS24026,AK-3NQ-407,Student 26
MBBS24027,AK-XGH-661,Student 27
MBBS24028,AK-1DH-153,Student 28
MBBS24029,AK-AW9-264,Student 29
MBBS24030,AK-3UF-422,Student 30
MBBS24031,AK-KYQ-648,Student 31
MBBS24032,AK-QDV-757,Student 32
MBBS24033,AK-5IJ-669,Student 33
MBBS24034,AK-OHT-778,Student 34
MBBS24035,AK-CN1-900,Student 35
MBBS24036,AK-ZA0-860,Student 36
MBBS24037,AK-AMO-732,Student 37
MBBS24038,AK-F6S-414,Student 38
MBBS24039,AK-30B-239,Student 39
MBBS24040,AK-7MN-696,Student 40
MBBS24041,AK-YMG-776,Student 41
MBBS24042,AK-IN5-302,Student 42
MBBS24043,AK-Q47-251,Student 43
MBBS24044,AK-SX5-262,Student 44
MBBS24045,AK-64R-594,Student 45
MBBS24046,AK-BXK-443,Student 46
MBBS24047,AK-B22-753,Student 47
MBBS24048,AK-ANN-344,Student 48
MBBS24049,AK-8KB-307,Student 49
MBBS24050,AK-0VY-366,Student 50
