Roll No,Name
MBBS24001,Student 1
MBBS24002,Student 2
MBBS24003,Student 3
MBBS24004,Student 4
MBBS24005,Student 5
MBBS24006,Student 6
MBBS24007,Student 7
MBBS24008,Student 8
MBBS24009,Student 9
MBBS24010,Student 10
MBBS24011,Student 11
MBBS24012,Student 12
MBBS24013,Student 13
MBBS24014,Student 14
MBBS24015,Student 15
MBBS24016,Student 16
MBBS24017,Student 17
MBBS24018,Student 18
MBBS24019,Student 19
MBBS24020,Student 20
MBBS24021,Student 21
MBBS24022,Student 22
MBBS24023,Student 23
MBBS24024,Student 24
MBBS24025,Student 25
MBBS24026,Student 26
MBBS24027,Student 27
MBBS24028,Student 28
MBBS24029,Student 29
MBBS24030,Student 30
MBBS24031,Student 31
MBBS24032,Student 32
MBBS24033,Student 33
MBBS24034,Student 34
MBBS24035,Student 35
MBBS24036,Student 36
MBBS24037,Student 37
MBBS24038,Student 38
MBBS24039,Student 39
MBBS24040,Student 40
MBBS24041,Student 41
MBBS24042,Student 42
MBBS24043,Student 43
MBBS24044,Student 44
MBBS24045,Student 45
MBBS24046,Student 46
MBBS24047,Student 47
MBBS24048,Student 48
MBBS24049,Student 49
MBBS24050,Student 50
